# 500 most variable ORFs in the alpha factor data set, time pts 1 to 18
# See Rifkin et al. 2000 for description of pre-treatment of data (interpolating missing values, etc)
YNL327W	-1.396666646	-1.23666667938	-1.07666671276	-1.15166664124	-1.22666668892	-1.59666669369	-1.8166667223	-1.396666646	-2.07666659355	1.66333329678	2.77333331108	2.77333331108	1.99333333969	1.43833339214	0.883333325386	0.773333311081	-0.316666662693	0.993333339691
YDR461W	2.35944437981	2.34944438934	2.29944443703	2.10944437981	1.74944448471	0.759444415569	0.159444451332	0.269444435835	0.109444446862	-1.02055561543	-0.570555567741	-1.53055560589	-1.36055552959	-1.59055554867	-1.44055557251	-1.32055556774	-1.74055552483	-1.59055554867
YNR044W	4.46166658401	3.09166669846	1.82166671753	-0.608333349228	-0.688333332539	-1.21833336353	-0.798333346844	-1.32833337784	-1.23833334446	-0.968333303928	-0.458333343267	-0.0983333364129	-0.228333339095	-0.368333339691	-0.508333325386	-0.498333334923	-0.358333319426	-0.00833333283663
YNR067C	-0.94055557251	-1.06055557728	-1.35055553913	-1.71055555344	-1.35055553913	-1.35055553913	-1.71055555344	-1.20055556297	-1.71055555344	1.49944448471	2.73944449425	2.43944454193	1.89944446087	0.899444460869	0.969444453716	0.649444460869	0.22944444418	1.05944442749
YJL170C	3.99888896942	3.31888890266	1.37888884544	-0.581111133099	-0.681111097336	-0.571111083031	-0.421111106873	-0.791111111641	-0.601111114025	-0.39111110568	-0.531111121178	-0.49111109972	-0.581111133099	-0.951111137867	-0.581111133099	-0.661111116409	-0.421111106873	-0.441111117601
YNL279W	4.69194459915	2.38694453239	0.0819444432855	-0.488055557013	-0.598055541515	-0.428055554628	-0.648055553436	-0.648055553436	-0.808055579662	-0.498055547476	-0.398055553436	0.111944444478	-0.318055570126	-0.488055557013	-0.888055562973	-0.438055545092	-0.428055554628	-0.198055550456
YPR119W	-2.23944449425	-2.03944444656	-1.83944439888	-2.169444561	-1.23944449425	0.52055555582	1.21055555344	1.66055560112	1.62055552006	1.04055559635	0.170555561781	-0.109444446862	-0.299444437027	-0.169444441795	0.240555554628	0.850555539131	1.4705555439	1.32055556774
YLR286C	1.17944443226	0.919444441795	0.499444454908	-0.170555561781	-1.17055559158	-1.43055558205	-1.5805555582	-2.17055559158	-2.17055559158	-1.75055551529	0.0594444423914	1.39944446087	1.87944447994	1.30944442749	1.51944446564	0.94944447279	0.569444417953	0.159444451332
YGL032C	3.49055552483	2.57055544853	1.71055555344	0.460555553436	-1.21944439411	-0.899444460869	-1.38944447041	-1.14944446087	-0.919444441795	-0.359444439411	0.0505555570126	-0.0194444432855	0.0605555549264	-0.489444434643	-0.489444434643	-0.659444451332	-0.509444415569	-0.239444449544
YKL164C	-0.460000008345	0.850000023842	-0.0299999993294	-0.460000008345	-1.70000004768	-1.17999994755	-2.24000000954	-1.52999997139	-1.0	1.59000003338	2.52999997139	2.02999997139	1.35000002384	0.15000000596	0.10000000149	-0.52999997139	0.019999999553	0.509999990463
YPL163C	-2.42111110687	-2.15111112595	0.658888876438	1.97888886929	1.54888892174	0.778888881207	0.138888895512	-0.941111087799	-1.03111112118	-1.50111114979	-0.0311111118644	1.24888885021	1.60888886452	0.838888883591	0.818888902664	-0.0911111086607	-0.481111109257	-0.971111118793
YBR158W	1.81777775288	1.7277777195	-1.18222224712	-0.742222249508	-1.37222218513	-0.782222211361	-1.6622222662	-1.84222221375	-2.0222222805	0.337777763605	1.13777780533	1.41777777672	1.2577778101	0.417777776718	0.487777769566	0.477777779102	0.397777765989	0.127777785063
YDR033W	-1.41444444656	-1.30444443226	-1.19444441795	-1.88444447517	-1.41444444656	-1.77444446087	0.14555555582	0.605555534363	1.68555557728	1.66555559635	1.65555560589	0.92555552721	0.825555562973	-0.154444441199	-0.0944444462657	-0.154444441199	0.64555555582	1.23555552959
